miner_id,deal_id,payload_cid,filename,size_in_bytes
f02387,1474167,baga6ea4seaqjuj4cvke5s6pe4iy7vtom2enogsjumsrazg4455gjul4erlfl6oi,sid.tar.03,34359738368
f047419,1480112,baga6ea4seaqjuj4cvke5s6pe4iy7vtom2enogsjumsrazg4455gjul4erlfl6oi,sid.tar.03,34359738368
f08403,1471918,baga6ea4seaqjuj4cvke5s6pe4iy7vtom2enogsjumsrazg4455gjul4erlfl6oi,sid.tar.03,34359738368
f062353,1472203,baga6ea4seaqjuj4cvke5s6pe4iy7vtom2enogsjumsrazg4455gjul4erlfl6oi,sid.tar.03,34359738368
f010617,1592065,baga6ea4seaqagjmfa7et7e5obbkoc5flh7te3pxelf7rgcod3aihvfoly7yfkey,sid.tar.04,34359738368
f08403,1471281,baga6ea4seaqagjmfa7et7e5obbkoc5flh7te3pxelf7rgcod3aihvfoly7yfkey,sid.tar.04,34359738368
f062353,1472200,baga6ea4seaqagjmfa7et7e5obbkoc5flh7te3pxelf7rgcod3aihvfoly7yfkey,sid.tar.04,34359738368
f047419,1474358,baga6ea4seaqagjmfa7et7e5obbkoc5flh7te3pxelf7rgcod3aihvfoly7yfkey,sid.tar.04,34359738368
f062353,1472201,baga6ea4seaqhtxs6as4rg3d6jqbftisuhhvhxijkzk5pn4vjj6qs5jbfx64yopy,sid.tar.05,34359738368
f08403,1471975,baga6ea4seaqhtxs6as4rg3d6jqbftisuhhvhxijkzk5pn4vjj6qs5jbfx64yopy,sid.tar.05,34359738368
f02387,1474137,baga6ea4seaqhtxs6as4rg3d6jqbftisuhhvhxijkzk5pn4vjj6qs5jbfx64yopy,sid.tar.05,34359738368
f047419,1478964,baga6ea4seaqhtxs6as4rg3d6jqbftisuhhvhxijkzk5pn4vjj6qs5jbfx64yopy,sid.tar.05,34359738368
f02387,1474035,baga6ea4seaqa23veq7sbs36seto4rf7dl4t47x7ybpp7h6pm6nzqji53wzvdoha,sid.tar.06,34359738368
f062353,1471735,baga6ea4seaqa23veq7sbs36seto4rf7dl4t47x7ybpp7h6pm6nzqji53wzvdoha,sid.tar.06,34359738368
f047419,1478924,baga6ea4seaqa23veq7sbs36seto4rf7dl4t47x7ybpp7h6pm6nzqji53wzvdoha,sid.tar.06,34359738368
f08403,1471272,baga6ea4seaqa23veq7sbs36seto4rf7dl4t47x7ybpp7h6pm6nzqji53wzvdoha,sid.tar.06,34359738368
f010617,1592063,baga6ea4seaqa23veq7sbs36seto4rf7dl4t47x7ybpp7h6pm6nzqji53wzvdoha,sid.tar.06,34359738368
f062353,1471667,baga6ea4seaqfkcorrfbiu4m7xsf4hzkkmjx5qddfb2cklcvswuqoowr5c5a3kja,sid.tar.07,34359738368
f010617,1592061,baga6ea4seaqfkcorrfbiu4m7xsf4hzkkmjx5qddfb2cklcvswuqoowr5c5a3kja,sid.tar.07,34359738368
f08403,1471242,baga6ea4seaqfkcorrfbiu4m7xsf4hzkkmjx5qddfb2cklcvswuqoowr5c5a3kja,sid.tar.07,34359738368
f02387,1474032,baga6ea4seaqfkcorrfbiu4m7xsf4hzkkmjx5qddfb2cklcvswuqoowr5c5a3kja,sid.tar.07,34359738368
f047419,1477761,baga6ea4seaqfkcorrfbiu4m7xsf4hzkkmjx5qddfb2cklcvswuqoowr5c5a3kja,sid.tar.07,34359738368
f02387,1479331,baga6ea4seaqkpgsmawebyulhfkwuflkcruokduyqfgxztj7mhcdoefhqtunc4cy,sid.tar.08,34359738368
f062353,1472202,baga6ea4seaqkpgsmawebyulhfkwuflkcruokduyqfgxztj7mhcdoefhqtunc4cy,sid.tar.08,34359738368
f047419,1478817,baga6ea4seaqkpgsmawebyulhfkwuflkcruokduyqfgxztj7mhcdoefhqtunc4cy,sid.tar.08,34359738368
f08403,1471977,baga6ea4seaqkpgsmawebyulhfkwuflkcruokduyqfgxztj7mhcdoefhqtunc4cy,sid.tar.08,34359738368
f047419,1480987,baga6ea4seaqo7axhrfmrma3ngyx6wg7eysba77tfns4k33fxfmbqr5hph3q5mda,sid.tar.09,34359738368
f062353,1472258,baga6ea4seaqo7axhrfmrma3ngyx6wg7eysba77tfns4k33fxfmbqr5hph3q5mda,sid.tar.09,34359738368
f02387,1479539,baga6ea4seaqo7axhrfmrma3ngyx6wg7eysba77tfns4k33fxfmbqr5hph3q5mda,sid.tar.09,34359738368
f08403,1473671,baga6ea4seaqo7axhrfmrma3ngyx6wg7eysba77tfns4k33fxfmbqr5hph3q5mda,sid.tar.09,34359738368
f08403,1473710,baga6ea4seaqmhfuwmgjubtxt34ejjt3mmxkzvbjstxfn6qgc5qeen5z5g4jusny,sid.tar.10,34359738368
f047419,1481527,baga6ea4seaqmhfuwmgjubtxt34ejjt3mmxkzvbjstxfn6qgc5qeen5z5g4jusny,sid.tar.10,34359738368
